No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Chris Paul,PG,6-0,175,May 6 1985,us,16,Wake Forest
25,Mikal Bridges,SF,6-6,209,August 30 1996,us,3,Villanova
23,Cameron Johnson,PF,6-8,210,March 3 1996,us,2,Pitt UNC
14,Landry Shamet,SG,6-4,190,March 13 1997,us,3,Wichita State
00,JaVale McGee,C,7-0,270,January 19 1988,us,13,Nevada
99,Jae Crowder,PF,6-6,235,July 6 1990,us,9,Marquette
15,Cameron Payne,PG,6-1,183,August 8 1994,us,6,Murray State
1,Devin Booker,SG,6-5,206,October 30 1996,us,6,Kentucky
22,Deandre Ayton,C,6-11,250,July 23 1998,bs,3,Arizona
2,Elfrid Payton,PG,6-3,195,February 22 1994,us,7,Louisiana
10,Jalen Smith,PF,6-10,215,March 16 2000,us,1,Maryland
11,Abdel Nader,SF,6-5,225,September 25 1993,eg,4,Northern Illinois Iowa State
12,Ish Wainright  (TW),PF,6-6,250,September 12 1994,us,R,Baylor
8,Frank Kaminsky,C,7-0,240,April 4 1993,us,6,Wisconsin
35,Chandler Hutchison  (TW),SF,6-6,210,April 26 1996,us,3,Boise State
26,Emanuel Terry,PF,6-9,220,August 21 1996,us,1,Lincoln Memorial
21,M.J. Walker,SG,6-5,213,March 28 1998,us,R,Florida State
18,Bismack Biyombo,C,6-8,255,August 28 1992,cd,10,
30,Paris Bass,SF,6-8,200,August 29 1995,us,R,Detroit Mercy
,Dario Å aric,C,6-10,225,April 8 1994,hr,5,
